UID	Ferlus's numbering	I = EFEO; II = SOAS +CNRS; III = Michel Ferlus; IV = Frédéric Pain	French	English	Chinese [简体中文]	Vietnamese	Vietnamese (older form, corrected since)	Written Khmer	Standard (Modern) Khmer	Tatey Leu Khmer	Written Khmer: variant	Standard (Modern) Khmer: variant	Tatey Leu Khmer: variant	semantics	sémantique	TaiYo	TaiYo IPA (Mỹ Dạ)		
495	82.86	II	Jute, {Corchorus}	Jute	黄麻	cay đay		ṭœm kracau	ɗaəm krəcaw	krəcɔv				plants	plantes	có pản	kɔ13 pɑn33		
496	82.87	II	Nénuphar	Water lily (nenuphar)	睡莲	cây hoa súng	cây bông súng	ṭœm bralịt	prəlɨt	ɗəːm pəlet				plants	plantes				
497	82.88	II	Aegle marmelos	Beel-fruit tree, aegle marmelos	木橘	một loài thực vật có hoa trong họ Cửu lý hương		bnau	pnəw	ɗəːm pənòv				plants	plantes				
498	82.89	III	Azadiranchta indica	Neem tree, azadirachta indica	印度楝树	sầu đâu, sầu đông, xoan, xoan Ấn Độ		sṭau	sɗaw	ɗəːm sɗəv				plants	plantes				
499	82.90	II	Jujube, {Zizyphus jujuba}	Jujube, Indian plum	枣	táo ta		phlæ budrā	pʰlae putriə	pʰlɛː putràː				plants	plantes				
500	82.91	III	Ramboutan	Rambutan	红毛丹（东南亚原产之无患子科大型热带果树）	cây chôm chôm		phlæ sāv m"āv	pʰlae saːw maːw	saːv maːv				plants	plantes				
501	82.92	II	Litchi, {Nephelium litchi}	Lychee	荔枝	(cây/quả) vải	cây lệ chi	phlæ gūlæn	pʰlae kulɛːn	-				plants	plantes				
502	82.93	II	Moringa oleifera	Indian horse-radish, moringa oleifera	辣木	(cây) chùm ngây, ba đậu dại		-	-					plants	plantes				
503	82.94	II	Dolichos lablab	Indian bean, dolichos bean, hyacinth bean, lablab bean	扁豆	đậu ván		-	-					plants	plantes				
504	82.95	II	Haricot soja, {Glycina}	Soya bean	大豆	đậu nành		saṇṭæk sieṅ	sənɗaec siəŋ	sɔnɗɛk siaŋ				plants	plantes	mạc tơi mến	mɑk11 təi55 men13		
505	82.96	II	Phaseolus radiatus	Phaseolus radiatus, mung bean, green gram	绿豆	đậu xanh		-	-					plants	plantes				
506	82.97	II	Vigna catjang	Cow pea, vigna catjang	豇豆	đậu đũa, đậu dải áo		saṇṭæk drœṅ	sənɗaec trəːŋ	sɔnɗɛk trə`ːŋ				plants	plantes				
507	82.98	II	Cassia fistula	Indian laburnum, cassia fistula, golden shower tree	金链花，黄金雨，金急雨，阿勃勒	muồng hoàng yến, điệp (vàng), kim tước		rāj	riac	ɗəːm ràːc				plants	plantes				
508	82.99	II	Albizza lebbek	Indian walnut, albizia lebbeck	核桃	(cây/quả) óc chó		-	ɗəːm crih					plants	plantes				
509	82.100	III	Sapotille	Sapodilla	人心果，仁心果，牛心梨	(cây/quả) xa-pô-chê, hồng xiêm	trái trứng gà	phlæ lmut	pʰlae ləmut	-				plants	plantes	mạc xảy cảy	mɑk11 sɑi33 kɑi33		
510	82.101	III	Pomme canelle	Annona squamosa	番荔枝，佛头果	na	mãng cầu	phlæ diep	pʰlae tiəp	-				plants	plantes				
511	82.102	III	Mangoustan	Mangosteen	山竹	măng cụt		phlæ maṅghut	pʰlae məŋkʰut	-				plants	plantes				
512	82.103	III	Orange	Orange	橙，橙子	cam		krūc boci sāt¢	kroːc pɷː sat	-				plants	plantes	mạc kiềng	mɑk11 kieŋ31		
513	82.104	III	Papaye	Papaya	木瓜	đu đủ		phlæ lhuṅ	pʰlae ləhoŋ	-				plants	plantes	mạc hổng	mɑk11 hoŋ33		
514	82.105	III	Ananas	Pineapple	菠萝	dứa, thơm		phlæ mnās¢	pʰlae mənoəh	-				plants	plantes	mạc chiếng, hóm	mɑk11 cieŋ13ˌ hɔm13		
515	82.106	III	Corossol	Soursop	红毛榴莲，刺果番荔枝	mãng cầu gai, na gai, na xiêm	mãng cầu xiêm	diep pārāṁṅ	tiəp ɓaraŋ	-				plants	plantes		nɑ55 ɡɑi55ˌ nɑ siem55		
516	82,107	III	Jambose	Rose-apple	蒲桃	roi, doi, mận		phlæ jambhū	pʰlae cəmpuː	-				plants	plantes	mạc phọp	mɑk11 fop11		
517	82.108	III	Carambole	Carambola, starfruit	杨桃	khế		phlæ sbð	pʰlae spɨː	-				plants	plantes	mạc phương	mɑk11 fɯəŋ55		
518	82.109	III	Galanga, {Alpinia galanga}	Galangal	高良姜	riềng		-	-					plants	plantes	hả	hɑ33		
519	82.110	III	Cardamone	Cardamom	白豆蔻（多年生常绿草本植物，外形像芭蕉，果实扁球形，种子像石榴子，有香味）	bạch đậu khấu (một loài thuộc họ gừng)	sa nhân	kravāñ	krəvaːɲ	-				plants	plantes	mạc nảnh	mɑk11 nɑɲ33		
520	82.111	III	Citronnelle	Lemongrass	香茅	sả chanh	cây sả	slịk grai	slɤk krej	-				plants	plantes				
521		IV	Citronnelle	Lemongrass	香茅	sả chanh	cây sả		səkrej					plants	plantes				
522	82.112	III	Sycomore	Sycamore	美桐，美国梧桐	cây sung dâu	cây sung	-	-					plants	plantes				
523	82.113	III	Orchidée épithyte	Epiphytic orchid	兰花（寄生兰）	phong lan	cây bông lan	-	-					plants	plantes	có lau	kɔ13 lɑu55		
524	82.114	III	Châtaigne	Chestnut	栗	(cây/hạt) dẻ	cây giẻ	-	-					plants	plantes	có mạc cỏ	kɔ13 mɑk11 kɔ33		
525	82.115	III	Mûre	Blackberry	黑莓	(cây/quả) dâu tằm	trái dâu	-	-					plants	plantes	mạc phi	mɑk11 fi55		
526	82.116	III	Gomme-laque	Shellac	虫胶（昆虫分泌的胶汁所凝成的物质，用做工业原料）	nhựa cánh kiến	cây cánh kiến	jăr khmuk	cɔə kʰmok	-				plants	plantes	có khì xẳng	kɔ13 xi31 sʌŋ33		
527	82.117	III	Benjoin	Benzoin resin, styrax resin	安息香（一种从安息香树提取的芳香性树脂）	(nhựa một loài cây thuộc chi bồ đề)	cây bồ đề	-	-					plants	plantes				
528	83	I	Mâle (animal)	Male (animal)	雄，雄性	đực, trống		jhmol	cʰmɷːl	cʰmoːl				animals	animaux, insectes, oiseaux...				
529		IV	Mâle (animal)	Male (animal)	雄，雄性	đực, trống				səɗɔː				animals	animaux, insectes, oiseaux...				
530		IV	Mâle (animal)	Male (animal)	雄，雄性	đực, trống				pʰluk				animals	animaux, insectes, oiseaux...				
531	84	I	Femelle (animal)	Female (animal)	雌，雌性	cái, mái		ñī	ɲiː	ɲìː mèː				animals	animaux, insectes, oiseaux...				
532	84.1	III	Sexe* de divers animaux	Sex	性别（雌雄两性的区别）	giống, giới		-	-					animals	animaux, insectes, oiseaux...	mời tô xắt	məi31 to55 sʌt55		
533	84.1a	III	Buffle m/f	Buffalo	水牛	trâu (đực/cái)		-	-					animals	animaux, insectes, oiseaux...	quai thấc, quai mẻ	kwɑi55 ʈɤk55ˌ kwɑi55 mɛ33		
534	84.1b	III	Zébu m/f	Zebu	瘤牛（是一种肩部长有肉瘤的牛科动物，原产于印度）	bò u (đực/cái) (bò zebu)		-	-					animals	animaux, insectes, oiseaux...	ngua thấc, ngua mẻ	ŋuɑ55 ʈɤk55ˌ ŋuɑ55 mɛ33		
535	84.1c	III	Chien m/f	Dog	狗	chó (đực/cái)		-	-					animals	animaux, insectes, oiseaux...	má thấc, má mẻ	mɑ13 ʈɤk55ˌ mɑ13 mɛ33		
536	84.1d	III	Éléphant m/f	Elephant	象，大象	voi (đực/cái)		-	-					animals	animaux, insectes, oiseaux...	xãng thấc, xãng mẻ	sɑŋ53 ʈɤk55ˌ sɑŋ53 mɛ33		
537	84.1e	III	Tigre m/f	Tiger	虎	hổ, cọp (đực/cái)		-	-					animals	animaux, insectes, oiseaux...	xứa thấc, xứa mẻ	sɯɑ13 ʈɤk55ˌ sɯɑ13 mɛ33		
538	84.1f	III	Poulet	Chicken	鸡	gà trống/mái		-	-					animals	animaux, insectes, oiseaux...	cảy PHù, cảy mẻ	kɑi33 Fu31, kɑi33 mɛ33		
539	84.1g	III	Oiseau	Bird	鸟	chim (trống/mái)		-	-					animals	animaux, insectes, oiseaux...	nộc PHù, nộc mẻ	nok11  Fu31, nok11 mɛ33		
540	85	I	Petit (animal)	Young (of animals)	小，幼仔	thú nhỏ		kūn	koːn	kúːn				animals	animaux, insectes, oiseaux...	xắt nõi	sʌt55 nɔi53		
541	85.1	III	Portée (porcs, chats)	Litter	一窝（幼仔）	một lứa đẻ		-	-					animals	animaux, insectes, oiseaux...	tịt bạt nửng	tit11 bɑt11 nɯŋ33		
542	85.2	III	Animaux sauvages	Wild life, wild animal	野生动物，野兽	thú hoang		satva brai	sat prej	-				animals	animaux, insectes, oiseaux...	xắt pả	sʌt55 pɑ33		
543	85.3	III	Animaux domestiques	Domesticated animal	畜，家畜（为经济等目的或为消遣所饲养的牲畜总称；尤指菜畜、奶牛、役畜猪、狗、猫等）	thú nhà		satva srak	sat srok	-				animals	animaux, insectes, oiseaux...	xắt bàn, xắt hươn	sɑt55 bɑn31ˌ sɑt55 hɯən55		
544	85.4	III	Apprivoiser, dresser	Tame	驯养，驯服	thuần dưỡng, thuần hóa, thuần phục	tập thú	phsāṁṅ	pʰsaŋ	-				animals	animaux, insectes, oiseaux...	bọc sắt	bɔk11 sʌt55		
545	86	I	Cuir	Leather, hide	皮革	da thuộc	da	spæk	sɓaec	səɓɛːk				animals	animaux, insectes, oiseaux...	nắng	nʌŋ13		
546	87	I	Pattes	Paws, feet (of animals)	脚爪，爪子	bàn chân	chân, cẳng	jœṅ	cəːŋ	cə`ːŋ				animals	animaux, insectes, oiseaux...	tín, cảnh há	tin13ˌ kɑɲ33 hɑ13		
547	87.1	III	Sabots	Hoof	蹄（马、牛、猪等生在趾端的保护物，亦指有角质保护物的脚）	móng guốc, guốc	móng	kracak jœṅ	krəcɑːʔ cəːŋ	-				animals	animaux, insectes, oiseaux...	lệp 	lep11		
548	88	I	Queue (animaux)	Tail	尾，尾巴	đuôi		kanduy	kəntuj	kəntùj				animals	animaux, insectes, oiseaux...	háng	hɑŋ13		
549	88.1	III	Bout de la queue	Tip of the tail	尾巴尖	chót đuôi		-	-					animals	animaux, insectes, oiseaux...	pái háng	pɑi13 haŋ13		
550	88.2	III	Remuer la queue	Wagging tails	摇尾巴	vẫy đuôi		-	-					animals	animaux, insectes, oiseaux...	quảnh háng 	kwɑɲ33 hɑŋ13		
551	89	I	Corne	Hornes (of buffalo)	角	sừng		snæṅ	snaeɲ	snéːŋ				animals	animaux, insectes, oiseaux...				
552	89a	III	Bosse de zébu	The hump ​​of a zebu	瘤牛的肉峰	u con bò		-	-					animals	animaux, insectes, oiseaux...	mả lắm tô ngua	mɑ33 lʌm13 to55 ŋuɑ55		
553	89.1	II	Ergot (coq)	Spur (of cock)	鸡距（雄鸡的后爪）	cựa (gà trống)	cựa gà	chnāl¢ mān¢	cʰnal	cʰnal màn				animals	animaux, insectes, oiseaux...	ca đứa cảy	kɑ55 dɯɑ13 kɑi33		
554	89.2	III	Crête	Cockscomb, crest	（鸡）冠	mào (gà)	mồng gà	sir	seː	-				animals	animaux, insectes, oiseaux...	hón cảy	hɔn13 kɑi33		
555	89.3	III	Serre	Claw	爪	vấu, vuốt, móng chim		-	-					animals	animaux, insectes, oiseaux...	lệp tô nộc	lep11 to55 nok11		
556	90	I	Mettre bas	To bring forth, drop, throw (young) in sense of give birth	生，生产	đẻ		stva kūn kœt	kaət koːn	kə´ːt kúːn				animals	animaux, insectes, oiseaux...	tịt (xảy)	tit11 (sɑi33)		
557	90a	III	Placenta	Placenta	胎盘	nhau (thai)	nhau đẻ	suk (kūn)	sok (koːn)	-				animals	animaux, insectes, oiseaux...				
558	90b	III	Stérile	Be sterile	不育	vô sinh		-	-					animals	animaux, insectes, oiseaux...				
559	91	I	Trompe (éléphant)	Elephant's trunk	象鼻（大象的鼻子）	vòi voi		pramoy ṭaṁrī	prəmaoj ɗəmrɛj	prəmoːj ʔɔmriː				animals	animaux, insectes, oiseaux...	nguông xãng	ŋwoŋ55 sɑŋ53		
560	91.1	III	Défense d’éléphant	Tusk, ivory	象牙	ngà		bhluk ṭaṁrī	pʰluk ɗəmrɛj	-				animals	animaux, insectes, oiseaux...	nga (nga xãng)	ŋɑ55 (ŋɑ55 sɑŋ53)		
561	92	I	Bec	Beak	鸟嘴	mỏ		caṁbuḥ	cəmpuh	cəmpùh				animals	animaux, insectes, oiseaux...	xốp nộc	sop55 nok11		
562	92a	III	Bec pointu	Pointed beak	尖嘴	mỏ nhọn		-	-					animals	animaux, insectes, oiseaux...	xốp nộc lém	sop55 nok11 lɛm13		
563	93	I	Aile	Wing	翼，翅膀	cánh		slāp	slaːp (cəmʔeːɲ)	sláːp				animals	animaux, insectes, oiseaux...	pịch	pic11		
564	93.1	III	Queue de coq	Rooster tail	公鸡的尾巴	đuôi gà trống	đuôi gà	-	-					animals	animaux, insectes, oiseaux...	háng cảy	hɑŋ13 kɑi33		
565	94	I	Plume	Feather	羽毛	lông		rom slāp	rɷːm (sat slaːp)	ruːm sláːp				animals	animaux, insectes, oiseaux...	hốn	hon13		
566	94.1	III	Duvet	Fuzz, down	绒毛	lông tơ		rom kæv	rɷːm kaew	-				animals	animaux, insectes, oiseaux...	hốn piệc	hon13 piek11		
567	95	I	Nid	Nest	巢	ổ, tổ chim		saṁpuk	səmɓok	ʔəmɓok				animals	animaux, insectes, oiseaux...	hăng, hăng nộc	hʌŋ55ˌ hʌŋ55 nok11		
568	95.1	II	Bovins	Cattle	牛、牛类	trâu bò		-	-					animals	animaux, insectes, oiseaux...	quai ngua	kwɑi55 ŋuɑ55		
569	96	I	Zébu, bœuf 	Ox	瘤牛（是一种肩部长有肉瘤的牛科动物，原产于印度）	bò u		go	kɷː	kòː				animals	animaux, insectes, oiseaux...				
570	96a	II	Veau	Calf	小牛	(con) bê	con bê, nghê	kūn go	koːn kɷː	kun kòː				animals	animaux, insectes, oiseaux...	tô ngua è	to55 ŋuɑ55 ɛ31		
571	96b	II	Cri, meuglement	Cry of cattle, low, moo (onomatopoeia)	哞	tiếng bò rống	rống	-	-					animals	animaux, insectes, oiseaux...	ngua oán	ŋuɑ55 wɑn13		
572		IV	Cri (animaux)	Cry (animals)	叫，喊（动物）	kêu (động vật)		yaṁ	jum					animals	animaux, insectes, oiseaux...				
573		IV	Cris perçants (animal)	Scream (animals)	（动物的）尖叫声	tiếng kêu (động vật)		driev (droḥ)	triəw (truəh)					animals	animaux, insectes, oiseaux...				
574		IV	(piailler, oiseau)					sræk khṅiev khṅār	sraec kʰɲiəw kʰɲaː					animals	animaux, insectes, oiseaux...				
575	96c	III	Ruminer	Ruminate	反刍，反复咀嚼	nhai lại	nhai cỏ	-	-					animals	animaux, insectes, oiseaux...	nhằm nhà	ɲhʌm31 ɲhɑ31		
576	96d	III	Pis	Udder	（母牛）乳房	vú (bò)		-	-					animals	animaux, insectes, oiseaux...	nù (ngua)	nu31 (ŋuɑ55)		
577	96e	III	Tétines	Teat, nipple	乳头	múm vú		-	-					animals	animaux, insectes, oiseaux...	ngoằn nù	ŋwʌn31 nu31		
578	96f	III	Traire	To milk	挤奶，挤乳	vắt sữa		-	-					animals	animaux, insectes, oiseaux...	pằn nẵm nù	pʌn31 nʌm53 nu31		
579	96.1	III	Buffle	Buffalo, water buffalo	水牛	trâu		krapī jhmol	krəɓɛj	kəɓɯː cʰmòːl				animals	animaux, insectes, oiseaux...	quai 	kwɑi55		
580		IV								kəɓɯː ɲìː				animals	animaux, insectes, oiseaux...				
581	96.1a	II	Bufflon	Young buffalo or buffalo calf	小水牛	nghé	trâu nghé	kūn krapī	koːn krəɓɛj	kun kəɓɯː				animals	animaux, insectes, oiseaux...	quai è	kwɑi55 ɛ31		
582	96.1b	II	Cri du buffle	Cry of buffalo (onomatopoeia)	哞	(tiếng trâu rống)	trâu rống	-	-					animals	animaux, insectes, oiseaux...	quai oán	kwɑi55 wɑn13		
583	96.2	III	Troupeau	Herd	群	đàn (bò, trâu)	đàn bò, đàn trâu	-	-					animals	animaux, insectes, oiseaux...	pưng ngua, pưng quai	pɯŋ55 ŋuɑ55ˌ pɯŋ55 kwɑi55		
584	97	I	Chèvre	Goat	羊（山羊）	dê		babæ ñī	pəpɛː	pɔpɛ`ː ɲiː				animals	animaux, insectes, oiseaux...	bè	bɛ31		
585	97a	II	Chevreau	Kid	小羊	dê con		kūn babæ	koːn pəpɛː	kuːn pɔpɛ`ː				animals	animaux, insectes, oiseaux...	bè nõi	bɛ31 nɔi53		
586	97.1	II	Cri, bêlement	Cry of goat (onomatopoeia)	咩	(dê kêu) be be	dê be be	yaṁ	jum	-				animals	animaux, insectes, oiseaux...	bè oán be be	bɛ31 wɑn13 bɛ55 bɛ55		
587	98	I	Chat	Cat	猫	mèo		chmā	cʰmaː	miav				animals	animaux, insectes, oiseaux...	meo	mɛɔ55		
588		IV							Surin meːw					animals	animaux, insectes, oiseaux...				
589	98a	II	Cri, miaulement	Cry of cat, mew (onomatopoeia)	喵	(mèo kêu) meo meo / ngoao ngoao	mèo ngoao	sræk	sraec	-				animals	animaux, insectes, oiseaux...	meo oán 	mɛɔ55 wɑn13		
590		IV						yaṁ	jum					animals	animaux, insectes, oiseaux...				
591	98.1	III	Griffes du chat	Cat's claws	猫爪（猫的爪子）	vuốt mèo		-	-					animals	animaux, insectes, oiseaux...	lệp meo	lep11 mɛɔ55		
592	98.2	III	Moustaches du chat	Cat's whiskers	猫的胡须	râu mèo		-	-					animals	animaux, insectes, oiseaux...	nuột meo 	nwot11 mɛɔ55		
593	98.3	III	Hérisser, le poil se —	Ruffle	鬃毛直竖	xù lông	lông xừng lên	-	-					animals	animaux, insectes, oiseaux...	hốn phu hừn	hon13 fu55 hɯn31		
594	99	I	Chien	Dog	狗	chó		chkæ	ckʰae	cəkɛː				animals	animaux, insectes, oiseaux...	má	mɑ13		
595	99a	II	Cri, aboiement	Cry of dog, bark (onomatopoeia)	汪汪	(chó sủa) gâu gâu	sủa	chkæ brus	ckʰae pruh	cəkɛː prùh				animals	animaux, insectes, oiseaux...	hảu	hɑu33		
596	99b	III	Mordre, le chien —	Bite	咬	chó cắn		-	-					animals	animaux, insectes, oiseaux...	má khốp	mɑ13 xop55		
597	99c	III	Tenir dans les mâchoires	To hold in the jaws	夹在嘴巴里	gặm, ngậm	cạp	-	-					animals	animaux, insectes, oiseaux...				
598	100	I	Cochon, porc	Pig (domestic)	猪	heo, lợn		jrūk jhmol	cruːʔ	crùːk cʰmoːl				animals	animaux, insectes, oiseaux...				
599	100a	II	Cri, grognement	Cry of pig, grunt, squeal (onomatopoeia)	嗷嗷	(lợn kêu) ụt ịt	heo ụt ịt	sræk	sraec	-				animals	animaux, insectes, oiseaux...				
600	100b	III	Groin du porc	Snout	猪嘴	mõm lợn	ủn ỉn	-	-					animals	animaux, insectes, oiseaux...				
601	100c	III	Fouiller (du groin)	Nuzzle	用鼻爱抚，触	sục (mõm vào), dí (mũi vào), hít, đánh hơi	lợn xục	-	-					animals	animaux, insectes, oiseaux...				
602	100d	III	Vautrer, se vautrer (porc)	Wallow	打滚	lăn, đầm		-	-					animals	animaux, insectes, oiseaux...				
603	100e	III	Châtrer	Castrate	阉（阉割）	thiến		-	-					animals	animaux, insectes, oiseaux...				
604	100f	III	Châtré, neutre (animal châtré, neutre)	Neuter (castrated animal)	骟、奄（已阉割动物）	động vật đã bị thiến		-	-					animals	animaux, insectes, oiseaux...				
605	100.1	III	Kouprey, {Bos sauveli} (S)	Kouprey	林牛	bò xám		-	-					animals	animaux, insectes, oiseaux...				
606	100.1a	III	Buffle sauvage	Wild buffalo	野水牛	trâu rừng		-	-					animals	animaux, insectes, oiseaux...				
607	100.2	III	Banteng, {Bos banteng} (S) 	Banteng	野牛（爪哇野牛，白臀野牛）	bò rừng		-	-					animals	animaux, insectes, oiseaux...				
608	100.3	III	Gaur, {Bos gaurus}	Gaur	野牛（印度野牛，野黄牛，亚洲野牛）	bò tót, con min		-	-					animals	animaux, insectes, oiseaux...				
609	100.4	III	Bouquetin 	Ibex	北山羊，巨角塔尔羊	dê rừng, con than		-	-					animals	animaux, insectes, oiseaux...				
610	100.5	III	Antilope goral	Antelope goral	羚羊，斑羚	ban linh	sơn dương	-	-					animals	animaux, insectes, oiseaux...				
611	100.6	III	Pseudoryx nghetinhensis	Pseudoryx nghetinhensis	中南大羚，安南锭角羚，武广牛，剑角牛	hươu sao la		-	-					animals	animaux, insectes, oiseaux...				
612	101	I	Cerf sambar	Stag, deer	鹿	hươu	con nai	kṭān¢	kʰɗan	kəɗan				animals	animaux, insectes, oiseaux...				
613		IV						prœs	praəh					animals	animaux, insectes, oiseaux...				
614	101a	II	Cri, bramement	Cry of deer	呦	hươu thé, nai kêu		yaṁ	jum	-				animals	animaux, insectes, oiseaux...				
615	101b	III	Bois de cerf	Antlers	鹿角	gạc nai		-	-					animals	animaux, insectes, oiseaux...				
616	101c	III	Corne tendre du cerf	Soft antlers	软（新出）的鹿角	lộc nai		-	-					animals	animaux, insectes, oiseaux...				
617	101.1	II	Chevreuil	Deer (roe-deer)	狍	con mang, hoẵng		jhlūs	cʰluːh	cʰlùːh				animals	animaux, insectes, oiseaux...				
618	101.2	III	Chevrotain	Chevrotain, mouse-deer	鼷鹿	con hoẵng con	con cheo, cheo cheo	-	kʰjɒːŋ					animals	animaux, insectes, oiseaux...				
619	101.3	III	Cerf d’eld	Eld's deer, thamin, brow-antlered deer	坡鹿	nai cà tông, nai cá		ramāṁṅ	rəmeəŋ	-				animals	animaux, insectes, oiseaux...				
620	101.4	III	Cerf porcin, porc-cerf, babiroussa	Babirusa	鹿豚，猪鹿	con hươu, hươu vàng		drāy	triəj	-				animals	animaux, insectes, oiseaux...				
621	101.5	III	Cerf axis	Chital	白斑鹿，花鹿	hươu sao, hươu bông		-	-					animals	animaux, insectes, oiseaux...				
622	102	I	Rat	Rat	鼠	chuột		kaṇṭur præṅ	kənɗol praeɲ	nnor prɛːŋ				animals	animaux, insectes, oiseaux...				
623		IV	Rat	Rat	鼠	chuột			kənɗao praeɲ					animals	animaux, insectes, oiseaux...				
624	102a	II	Cri, couinement	Cry of rat	吱吱	(chuột kêu) chít chít	chuột rúc	yaṁ	jum	-				animals	animaux, insectes, oiseaux...				
625	102b	III	Ronger	Gnaw	啃	gặm, nhấm		-	-					animals	animaux, insectes, oiseaux...				
626	102c	III	Musaraigne	Shrew	鼩鼱	chuột chũi		-	-					animals	animaux, insectes, oiseaux...				
627	102.1	II	Porc-épic	Porcupine	豪猪	nhím		pramā	prəmaː	sat pəmaː				animals	animaux, insectes, oiseaux...				
628	102.1a	III	Hérisson	Hedgehog	猬，刺猬	nhím		-	-					animals	animaux, insectes, oiseaux...				
629	102.1b	III	Se mettre en boule	To curl	卷曲	nằm khoanh		-	-					animals	animaux, insectes, oiseaux...				
630	102.2	III	Pangolin	Pangolin	鲮鲤（穿山甲，龙鲤，石鲮鱼）	con tê tê, trút		baṅrūl	pəŋruːl	(pə/ŋ)ŋrùːl				animals	animaux, insectes, oiseaux...				
631	102.2a	III	Écaille (pangolin)	Scale (of pangolin)	鳞（鲮鲤的）	vảy con tê tê		-	-					animals	animaux, insectes, oiseaux...				
632	102.2b	III	S’enrouler (pangolin)	To wrap (pangolin)	裹（鲮鲤）	(tê tê) cuốn mình		-	-					animals	animaux, insectes, oiseaux...				
633	102.3	II	Belette	Weasel	鼬（鼠狼，黄鼠狼）	chồn		saṁboc	səmɓoːc	ʔɔmpoːc				animals	animaux, insectes, oiseaux...				
634	102.4	II	Loutre	Otter	獭	con rái cá		bhe	pʰeː	pʰéː				animals	animaux, insectes, oiseaux...				
635	102.5	III	Loup	Wolf	狼	chó sói, sói đỏ		-	-					animals	animaux, insectes, oiseaux...				
636	102.6	III	Chacal	Jackal	豺	con cáo, chó rừng		-	-					animals	animaux, insectes, oiseaux...				
637	102.7	III	Blaireau, télagon	Badger	獾	con lửng		-	-					animals	animaux, insectes, oiseaux...				
638	102.7a	III	Blaireau ferret	Ferret badger	鼬獾	chồn lửng		-	-					animals	animaux, insectes, oiseaux...				
639	102.8	III	Civettes	Civet-cat, civet	麝猫	cầy, chồn		-	-					animals	animaux, insectes, oiseaux...				
640	102.8a	III	Civette des palmiers 	Masked palm civet	果子狸	cầy tai trắng		-	-					animals	animaux, insectes, oiseaux...				
641	102.8b	III	Civette des palmiers	Masked palm civet	果子狸	cầy hương, xạ hương		-	-					animals	animaux, insectes, oiseaux...				
642	102.8c	III	Civettes	Civet-cat, civet	麝猫	cầy, chồn		-	-					animals	animaux, insectes, oiseaux...				
643	102.8d	III	Civettes	Civet-cat, civet	麝猫	cầy, chồn		-	-					animals	animaux, insectes, oiseaux...				
644	102.8e	III	Binturong,	Binturong	熊狸，熊灵描	cầy mực, chồn mực		-	-					animals	animaux, insectes, oiseaux...				
645	102.8f	III	Civette,	Civet	麝猫	cầy vằn bắc		-	-					animals	animaux, insectes, oiseaux...				
646	102.8g	III	Mustelidae, mustélidés	Mustelid	鼬科动物	động vật họ chồn		-	-					animals	animaux, insectes, oiseaux...				
647	102.8h	III	Marte	Marten	貂	cầy lông hoe		-	-					animals	animaux, insectes, oiseaux...				
648	102.8i	III	Putois	Polecat	臭猫	chồn hôi		-	-					animals	animaux, insectes, oiseaux...				
649	102.8j	III	Mustelidae, mustélidés, autre	Mustelid, other	鼬科动物的一种	chồn hương		-	-					animals	animaux, insectes, oiseaux...				
650		III	Mustelidae, mustélidés, autre	Mustelid, other	鼬科动物的一种	chồn mồn		-	-					animals	animaux, insectes, oiseaux...				
651		III	Mustelidae, mustélidés, autre	Mustelid, other	鼬科动物的一种	chồn mướp		-	-					animals	animaux, insectes, oiseaux...				
652		III	Mustelidae, mustélidés, autre	Mustelid, other	鼬科动物的一种	chồn bạc má		-	-					animals	animaux, insectes, oiseaux...				
653		III	Mustelidae, mustélidés, autre	Mustelid, other	鼬科动物的一种	triết bụng vàng		-	-					animals	animaux, insectes, oiseaux...				
654		III	Mustelidae, mustélidés, autre	Mustelid, other	鼬科动物的一种	triết bụng trắng		-	-					animals	animaux, insectes, oiseaux...				
655		III	Mustelidae, mustélidés, autre	Mustelid, other	鼬科动物的一种	triết chỉ lưng		-	-					animals	animaux, insectes, oiseaux...				
656	102.9	III	Mangouste,	Mongoose	猫鼬	cầy mangut	chồn đèn	-	-					animals	animaux, insectes, oiseaux...				
657	102.9a	III	Chasser (mang.-serpent)	To hunt	猎（打猎，狩猎）	săn bắt		-	-					animals	animaux, insectes, oiseaux...				
658	103	I	Sanglier (solitaire),	Wild boar, wild pig	野猪	heo rừng		jrūk brai	cruːʔ prej	cruk prej				animals	animaux, insectes, oiseaux...				
659	103.1	III	Sanglier (en groupe)	Wild boar	野猪	lợn lòi bầy		-	-					animals	animaux, insectes, oiseaux...				
660	103a	III	Marcassin	Boar	公猪	lợn đực		kūn jrūk brai	koːn cruːʔ prej	-				animals	animaux, insectes, oiseaux...				
661	103b	III	Cri, grognement	Cry of boar	（猪、野猪的）叫声， 咕噜声	kêu éc éc		-	-					animals	animaux, insectes, oiseaux...				
662	103c	III	Hure du sanglier	Wild boar's head	野猪头	đầu heo rừng	lông bờm heo rừng	-	-					animals	animaux, insectes, oiseaux...				
663	103d	III	Défense du sanglier	Wild boar's tusks	野猪獠牙	nanh lợn lòi		-	-					animals	animaux, insectes, oiseaux...				
664	103.2	III	Tapir	Tapir	貘（哺乳动物，体型类似犀。鼻长能自由伸缩，无角，生活在热带）	heo vòi	heo vói	-	-					animals	animaux, insectes, oiseaux...				
665	104	I	Ours malais	Sun bear	马来熊	gấu chó		khlā ghmuṁ	kʰlaː kʰmum	kʰlaː kʰmom				animals	animaux, insectes, oiseaux...				
